cast_id,movie_id,character,gender,realname,order
173,206647,Cable Car Heavy,2,Detlef Bothe,55
174,206647,Cable Car Heavy,2,Bodo Friesecke,56
175,206647,Syringe Heavy,2,Wilhem Iben,57
176,206647,Snowboarder,1,Noemi Krausz,58
177,206647,Snowboarder,2,Noah Saavedra,59
178,206647,Snowboarder,0,Francis Attakpah,60
179,206647,Snowboarder,2,Michael Glantschnig,61
180,206647,Snowboarder,2,Marlon Boess,62
181,206647,Snowboarder,1,Marie Wohlmuth,63
182,206647,Snowboarder,1,Lili Epply,64
183,206647,Snowboarder,2,Konstantin Gerlach,65
184,206647,L'Americain Manater,1,Lara Parmiani,66
185,206647,Train Guard,2,Umit Ulgen,67
186,206647,Train Waiter,2,Amra Mallassi,68
187,206647,Train Barman,2,Ziad Abaza,69
188,206647,Blofeld's Chauffeur,2,Walid Mumuni,70
189,206647,Blofeld's Guard,0,Derek Horsham,71
190,206647,Blofeld's Guard,2,Nari Blair-Mangat,72
191,206647,Blofeld's Butler,0,Michael White,73
192,206647,Blofeld's Waiter,0,Adam McGrady,74
193,206647,Blofeld's Analyst,2,Nader Dernaika,75
194,206647,Blofeld's Chief Analyst,2,Pezhmaan Alinia,76
195,206647,M (uncredited),1,Judi Dench,77
196,206647,Clinic Patron (uncredited),1,Neve Gachev,78
197,206647,Businessman (uncredited),2,Karl Farrer,79
198,206647,Lair Staff (uncredited),1,Kim Adis,80
199,206647,Mexican Sprite (uncredited),1,Maurisa Selene Coleman,81
200,206647,Pilot David,2,Matija Mondi Matović,82
201,49026,Bruce Wayne / Batman,2,Christian Bale,0
202,49026,Alfred Pennyworth,2,Michael Caine,1
203,49026,James Gordon,2,Gary Oldman,2
204,49026,Selina Kyle / Catwoman,1,Anne Hathaway,3
205,49026,Bane,2,Tom Hardy,4
206,49026,Miranda Tate,1,Marion Cotillard,5
207,49026,Blake,2,Joseph Gordon-Levitt,6
208,49026,Lucius Fox,2,Morgan Freeman,7
209,49026,Dr. Jonathan Crane / Scarecrow,2,Cillian Murphy,8
210,49026,Jen,1,Juno Temple,9
211,49026,Ra's Al Ghul,2,Liam Neeson,10
212,49026,Deputy Commissioner Foley,2,Matthew Modine,11
213,49026,Dr. Pavel,2,Alon Aboutboul,12
214,49026,Daggett,2,Ben Mendelsohn,13
215,49026,The Mayor,2,Nestor Carbonell,14
216,49026,Young Ra's Al Ghul,0,Josh Pence,15
217,49026,Prisoner,0,Tom Conti,16
218,49026,Young Talia Al Ghul,1,Joey King,17
219,49026,Mercenary Security #1,2,Warren Brown,18
220,49026,Captain Jones,2,Daniel Sunjata,19
221,49026,Special Ops Sergeant,0,Sam Kennard,20
222,49026,Hooded Man #2,0,Aliash Tepina,21
223,49026,Caterer,0,Nick Julian,22
224,49026,Maid,1,Miranda Nolan,23
225,49026,Maid,0,Claire Julien,24
226,49026,CIA Op,2,Aidan Gillen,25
227,49026,Stryver,0,Burn Gorman,26
228,49026,Congressman,2,Brett Cullen,27
229,49026,Ross,2,Reggie Lee,28
230,49026,DWP Man,2,Joseph Lyle Taylor,29
231,49026,Fr. Reilly,2,Chris Ellis,30
232,49026,SWAT in Dive Bar,2,Duane Henry,31
233,49026,SWAT in Alley,0,James Harvey Ward,32
234,49026,Cop in Manhole,2,Gonzalo Menendez,33
235,49026,Sewer Thug #1,2,Cameron Jack,34
236,49026,Sewer Thug #2,2,Lex Daniel,35
237,49026,Mark,2,Tyler Dean Flores,36
238,49026,Doctor,2,Thomas Lennon,37
239,49026,Yuppie,0,Trevor White,38
240,49026,Allen,2,Rob Brown,39
241,49026,Exchange Security Chief,2,Fredric Lehne,40
242,49026,Female Security Guard,0,Courtney Munch,41
243,49026,Paparazzi #1,2,Chris Hill,42
244,49026,Paparazzi #2,2,Travis Guba,43
245,49026,Rich Twit,2,Jay Benedict,44
246,49026,Officer Simon Jansen,2,Will Estes,45
247,49026,Shoe Shine Man at GSE,2,David Dayan Fisher,46
248,49026,Trader #1,2,Glen Powell,47
249,49026,Trader #3,2,Russ Fega,48
250,49026,Valet at Museum,2,Andres Perez-Molina,49
251,49026,Veteran Cop,2,Brent Briscoe,50
252,49026,Fredericks,2,John Nolan,51
253,49026,2 Star Air Force General,2,Oliver Cotton,52
254,49026,Airport Cop,0,Mark Killeen,53
255,49026,Analyst #1,0,Sarah Goldberg,54
256,49026,Analyst #2,2,John MacMillan,55
257,49026,Army Captain at Bridge,2,Robert Wisdom,56
258,49026,Cement Truck Driver,2,Ronnie Gene Blevins,57
259,49026,CIA Analyst,0,John Hollingworth,58
260,49026,Cop with Gordon,2,Ian Bohen,59
261,49026,Blind Prisoner,2,Uri Gavriel,60
262,49026,Ex-Prisoner at River,2,Noel Gugliemi,61
263,49026,Gangbanger,2,Hector Atreyu Ruiz,62
264,49026,Huge Inmate,0,Patrick Cox,63
265,49026,Kid with Apple,2,Aramis Knight,64
266,49026,Barsad,2,Josh Stewart,65
267,49026,President,2,William Devane,66
268,49026,Skinny Prisoner,2,David Gyasi,67
269,49026,Special Forces #2,2,Patrick Jordan,68
270,49026,Mercenary at City Hall,0,Joshua Elijah Reese,69
271,49026,Uniform,2,Desmond Harrington,70
272,49026,Bomb Truck Driver,2,Mychael Bates,71
273,49026,Wayne's Lawyer,2,Tomas Arana,72
274,49026,Applied Sciences Tech #1,0,Peter Holden,73
275,49026,Applied Sciences Tech #2,2,David Monahan,74
276,49026,Lawyer's Clerk,1,Jillian Armenante,75
277,49026,Greeter at Museum,1,Aja Evans,76
278,49026,Valet at Wayne Enterprises,0,Aldous Davidson,77
279,49026,Warden at Blackgate,2,Wade Williams,78
280,49026,Waiter in Florence Café,0,Jake Canuso,79
281,49026,Janitor at GSE,0,Massi Furlan,81
282,49026,Mercenary Security #4,2,Christopher Judge,82
283,49026,Board Member #2,2,Patrick Leahy,83
284,49026,Uniform #2,0,Todd Gearhart,84
285,49026,Gotham City Police Officer (uncredited),2,Marc Abbink,85
286,49026,Young Stock Broker (uncredited),0,Isiah Adams,86
287,49026,Gotham City Police Officer (uncredited),1,Charlie Alejandro,87
288,49026,Former Upscaler (uncredited),2,Robert Arensen,88
289,49026,Angry Mobster / Prisoner (uncredited),0,Grant Babbitt,89
290,49026,Gotham Rogues Fan (uncredited),0,Fileena Bahris,90
291,49026,Mercenary (uncredited),0,Rick Bolander,91
292,49026,Police Officer (uncredited),0,Kyle Patrick Brennan,92
293,49026,Gotham City Police Officer (uncredited),0,Scott Churchson,93
294,49026,Gotham Rogues Coach (uncredited),0,Bill Cowher,94
295,49026,Pentagon Navy Petty (uncredited),0,Graham Curry,95
296,49026,Reporter (uncredited),1,Stephanie Domini Ehlert,96
297,49026,Older Upscale Person (uncredited),0,John Farrer,97
298,49026,Prisoner / Thug (uncredited),0,Frank Fata,98
299,49026,Stock Broker (uncredited),0,Christopher Bryan Gomez,99
300,49026,Thug (uncredited),0,Vito Grassi,100
301,49026,Stockbroker in Snipers Scoop - Stock Exchange (uncredited),2,Michael Wren Gucciardo,101
302,49026,Prisoner (uncredited),2,Sam Harris,102
303,49026,Police Officer (uncredited),0,Ed Heavey,103
304,49026,Gotham Police Officer / Fan (uncredited),2,John W. Iwanonkiw,104
305,49026,Gordon's Cop #4 (uncredited),0,Cindy Jackson,105
306,49026,Boom Operator News Crew (uncredited),0,Daniel Jordano,106
307,49026,Gothamite (uncredited),0,William Kania,107
308,49026,Gotham Rogues Fan (uncredited),0,Tiffany Kemp,108
309,49026,Stock Broker (uncredited),0,Sun Jae Kim,109
310,49026,Thug (uncredited),0,Hrvoje Klecz,110
311,49026,Wall Street Broker (uncredited),0,Alex Kruz,111
312,49026,Gotham City Police Officer (uncredited),0,Tyler La Marr,112
313,49026,Thug (uncredited),2,LeJon,113
314,49026,Gotham City Police Officer (uncredited),0,Paul Jude Letersky,114
315,49026,Prisoner (uncredited),0,Joe Lipari,115
316,49026,Tourist (uncredited),0,Silvia Lombardo,116
317,49026,Gotham Rogues Fan (uncredited),0,Jorge Mardel,117
318,49026,Gotham Rogues Fan (uncredited),0,Cale McConnell,118
319,49026,Gotham City Police Officer (uncredited),0,David Dale McCue,119
320,49026,Gotham Rogues Fan (uncredited),1,Tiffany Sander McKenzie,120
321,49026,Angry Mobster (uncredited),0,Allen Merritt,121
322,49026,Wayne Enterprises Security (uncredited),0,Olan Montgomery,122
323,49026,Mercenary (uncredited),0,Alex Moore,123
324,49026,Gotham City Police Officer (uncredited),0,Shane Nolan,124
325,49026,Prisoner / Thug (uncredited),0,Jackson Nunn,125
326,49026,Gotham City News Cameraman (uncredited),0,Joseph O'Brien,126
327,49026,Prison Guard (uncredited),2,Michael Papajohn,127
328,49026,Prisoner / Mob (uncredited),0,Salomon Passariello,128
329,49026,Gotham Stock Trader (uncredited),0,Kyle David Pierce,129
330,49026,Gotham Rogues Player (uncredited),0,Troy Polamalu,130
331,49026,Gotham Police Officer (uncredited),0,Michael Power,131
332,49026,Thug (uncredited),0,James Rawlings,132
333,49026,Doris in Black (uncredited),0,Kirsten Roeters,133
334,49026,Gotham Rogues Player (uncredited),0,Ben Roethlisberger,134
335,49026,Gotham Police Officer (uncredited),2,Mark Roman,135
336,49026,Thug (uncredited),2,Anthony J. Sacco,136
337,49026,Angry Thug (uncredited),0,Eric Salazar,137
338,49026,Hot Football Fan (uncredited),0,Emily Schooley,138
339,49026,Gotham Rogues Owner (uncredited),0,Thomas Tull,139
340,49026,Thug (uncredited),2,Chris Vaina,140
341,49026,Prisoner (voice) (uncredited),0,Vincent van Ommen,141
342,49026,Gotham City Press (uncredited),0,Michelle Vezzani,142
343,49026,Gotham Rogues Fan (uncredited),0,Barbara Vincent,143
344,49026,Gotham City Police Officer (uncredited),0,Justin Michael Woods,144
345,49026,Mercenary Soldier (uncredited),0,Jason Yee,145
346,49026,Gotham Citizen (uncredited),1,Maria Zambrana,146
347,49026,Gotham City Police Officer (uncredited),0,John Zion,147
348,49026,Thug (uncredited),2,Alex Ziwak,148
349,49026,Gotham City Police Officer (uncredited),2,Tommy Bayiokos,149
350,49026,Football Fan (uncredited),0,Matthew Gooley,150
351,49026,Cop (uncredited),0,Jeff Moffitt,151
352,49026,Football Fan (uncredited),0,Mark Falvo,152
353,49026,Thug (uncredited),0,Diogo Hausen,153
354,49026,Prisoner (uncredited),2,Gary Sievers,154
355,49026,Mercenary (uncredited),0,Orion McCabe,155
356,49026,Court Room Thug (uncredited),2,London May,156
357,49026,Gothamite (uncredited),2,James Quinn,157
358,49026,Thug #2 in Basement,2,Daniel Newman,158
359,49529,John Carter,2,Taylor Kitsch,0
360,49529,Dejah Thoris,1,Lynn Collins,1
361,49529,Sola,1,Samantha Morton,2
362,49529,Tars Tarkas,2,Willem Dafoe,3
363,49529,Tal Hajus,2,Thomas Haden Church,4
364,49529,Matai Shang,2,Mark Strong,5
365,49529,Tardos Mors,2,Ciarán Hinds,6
366,49529,Sab Than,2,Dominic West,7
367,49529,Kantos Kan,2,James Purefoy,8
368,49529,Powell,2,Bryan Cranston,9
369,49529,Sarkoja,1,Polly Walker,10
370,49529,Edgar Rice Burroughs,2,Daryl Sabara,11
371,49529,Stayman #1 / Helm,2,Arkie Reece,12
372,49529,Stayman #3,2,Davood Ghadami,13
373,49529,Lightmaster,1,Pippa Nixon,14
374,49529,Thern #2,2,James Embree,15
375,49529,Thern #1,0,Philip Philmar,16
376,49529,Pretty Woman in NYC Doorway,1,Emily Tierney,17
377,49529,Telegraph Clerk,2,Edmund Kente,18
378,49529,Dalton,2,Nicholas Woodeson,19
379,49529,Stable Boy,2,Kyle Agnew,20
380,49529,Dix the Storekeeper,2,Don Stark,21
381,49529,Rowdy #1,2,Josh Daugherty,22
382,49529,Rowdy #2,2,Jared Cyr,23
383,49529,Stockade Guard,2,Christopher Goodman,24
384,49529,Sarah Carter,1,Amanda Clayton,25
385,49529,Apache #1 (as Joe Billingiere),0,Joseph Billingiere,26
386,559,Peter Parker / Spider-Man,2,Tobey Maguire,0
387,559,Mary Jane Watson,1,Kirsten Dunst,1
388,559,Harry Osborn / New Goblin,2,James Franco,2
389,559,Flint Marko / Sandman,2,Thomas Haden Church,3
390,559,Eddie Brock / Venom,2,Topher Grace,4
391,559,Gwen Stacey,1,Bryce Dallas Howard,5
392,559,May Parker,1,Rosemary Harris,6
393,559,Captain Stacey,2,James Cromwell,7
394,559,J. Jonah Jameson,2,J.K. Simmons,8
395,559,Mrs. Marko,1,Theresa Russell,9
396,559,Dr. Curt Connors,2,Dylan Baker,10
397,559,Joseph Robertson,2,Bill Nunn,11
398,559,Miss Brant,1,Elizabeth Banks,12
399,559,Hoffman,2,Ted Raimi,13
400,559,Penny Marko,1,Perla Haney-Jardine,14
401,559,Norman Osborn / Green Goblin,2,Willem Dafoe,15
402,559,Ben Parker,0,Cliff Robertson,16
403,559,Mr. Ditkovitch,2,Elya Baskin,17
404,559,Ursula,1,Mageina Tovah,18
405,559,Dennis Carradine / Carjacker,2,Michael Papajohn,19
406,559,Flash Thompson,2,Joe Manganiello,20
407,559,Man in Times Square,2,Stan Lee,21
408,559,Maître d,2,Bruce Campbell,22
409,559,Pianist,2,Christopher Young,23
410,559,Driver,0,Grant Curtis,24
411,559,John Jameson,2,Daniel Gillies,25
412,559,Houseman,0,John Paxton,26
413,559,Mrs. Stacy,1,Becky Ann Baker,27
414,559,Photographer,2,Steve Valentine,28
415,559,Anchorman,0,Hal Fishman,29
416,559,Jennifer Dugan,1,Lucy Gordon,30
417,559,Congratulatory Woman at Daily Bugle,1,Toni Wynne,31
418,559,Crane Disaster Radio Policeman,2,Andre B. Blake,32
419,559,Play Director,2,Tim Maculan,33
420,559,Play Producer,2,Marc Vann,34
421,559,Jazz Club Manager,2,Joe Bays,35
422,559,Precinct Detective,2,Gregg Daniel,36
423,559,Emergency Room Doctor,2,Rogelio T. Ramos,37
424,559,Crane Operator,0,Timothy Patrick Quill,38
425,559,Woman Outside Theater,1,Kathryn Bryding,39
426,559,Police Detective,0,Joe Virzi,40
427,559,New Jersey State Policeman,0,Bill E. Rogers,41
428,559,New Jersey State Policeman,0,Michael Alexander,42
429,559,Test Site Technician,1,April Parker-Jones,43
430,559,Test Site Technician,0,Edward Padilla,44
431,559,Test Site Technician,2,Robert Curtis Brown,45
432,559,Test Site Technician,2,Paul Terrell Clayton,46
433,559,Test Site Technician,0,Carolyn Neff,47
434,559,Test Site Technician,1,Christina Cindrich,48
435,559,ICU Nurse,0,Sonya Maddox,49
436,559,Cop at Crane Disaster,0,Derrick 'Phoenix' Thomas,50
437,559,Mary Jane's Replacement,1,Jessi Collins,51
438,559,Boy at Key to the City Ceremony,0,Michael McLaughlin,52
439,559,Councilwoman,1,Anne Gartlan,53
440,559,Policeman at Sand Truck,2,Emilio Rivera,54
441,559,Policeman at Sand Truck,0,Keith Woulard,55
442,559,Armored Car Driver,2,Reynaldo Gallegos,56
443,559,Newstand Patron,0,Jim Coope,57
444,559,Newstand Patron,0,Dean Edwards,58
445,559,Newstand Patron,1,Margaret Laney,59
446,559,Coffee Shop Waitress,1,Aimee Miles,60
447,559,Jazz Club Waitress,1,Tanya Bond,61
448,559,Jazz Club Bouncer,2,Mark Kubr,62
449,559,Photoshoot Client,0,Tony Besson,63
450,559,Businessman (uncredited),0,Ramon Adams,64
451,559,Theater Attendee (uncredited),0,A.J. Adelman,65
452,559,Pedestrian (uncredited),0,Angelis Alexandris,66
453,559,I.C.U Nurse (uncredited),1,Dawn Marie Anderson,67
454,559,NYPD Officer (uncredited),2,Frank Anello,68
455,559,Model (uncredited),1,Anya Avaeva,69
456,559,Bucket Boy (uncredited),2,David Backus,70
457,559,News Reporter (uncredited),1,Tiffany L. Baker,71
458,559,Photographer (uncredited),0,Marc C. Cancassi,72
459,559,Rescued Girl (uncredited),1,Sujeilee Candele,73
460,559,Photographer (uncredited),0,Michael Ciesla,74
461,559,Jazz Club Waitress (uncredited),1,Irina Costa,75
462,559,Theater Patron (uncredited),0,John Crann,76
463,559,Jazz Club Girl (uncredited),1,Crystal Marie Denha,77
464,559,Columbia Grad Student (uncredited),1,Amy V. Dewhurst,78
465,559,New York City Commuter / Driver (uncredited),2,Paul Edney,79
466,559,Girl at Key Ceremony (uncredited),1,Natalie Fabry,80
467,559,Pedestrian (uncredited),0,Keith Fausnaught,81
468,559,A Spidey Kid (uncredited),1,Amanda Florian,82
469,559,A Spidey Kid (uncredited),1,Brianna Leann Florian,83
470,559,A Spidey Kid (uncredited),1,Tiffany Ashley Florian,84
471,559,Businessman (uncredited),0,Shaun Patrick Flynn,85
472,559,Automobile Driver (uncredited),0,Logan Fry,86
473,559,Spectator (uncredited),0,Kevin Fung,87
474,559,News Spectator (uncredited),0,Tony Galtieri,88
475,559,Funeral Limo Driver (uncredited),0,Chuck Gerena,89
476,559,News Reporter (uncredited),0,Brian Hopson,90
477,559,Cop (uncredited),0,Claude Jay,91
478,559,Female New Yorker (uncredited),1,Julie Jei,92
479,559,Jazz Club Bouncer (uncredited),0,Andrew James Jones,93
480,559,Girl at Key Ceremony (uncredited),1,Natalie Jones,94
481,559,Student (uncredited),0,Christopher Jude,95
482,559,ER Nurse (uncredited),1,Brittany Krall,96
483,559,Dog Walker (uncredited),1,Alyssa Lakota,97
484,559,Observer (uncredited),0,Tia Latrell,98
485,559,Businesswoman (uncredited),1,Linda Lee,99
486,559,Woman in Court (uncredited),1,Pierangeli Llinas,100
487,559,British Publicist (uncredited),1,Bernadette Lords,101
488,559,Shocked Pedestrian (uncredited),1,Sandrine Marlier,102
489,559,Journalist (uncredited),1,Laura McDavid,103
490,559,Girl Screaming in Camaro (uncredited),1,Natalie McNeil,104
491,559,Kid in Times Square (uncredited),0,Daniel Mignault,105
492,559,Oscorp Receptionist (uncredited),1,Martha Millan,106
493,559,Girl in Times Square (uncredited),1,Michele-Nanette Miller,107
494,559,Robbie's Assistant (uncredited),1,Claudia Katz Minnick,108
495,559,Theatergoer (uncredited),0,Robert Myers,109
496,559,Businessman (uncredited),0,Joseph O'Brien,110
497,559,Beautiful Girl (uncredited),1,Jen Oda,111
498,559,Beautiful Woman (uncredited),1,Anjelia Pelay,112
499,559,Police Officer (uncredited),0,Nick Poltoranin,113
500,559,Beautiful Woman (uncredited),1,Vanessa Reseland,114
501,559,Beautiful Woman (uncredited),0,La Rivers,115
502,559,Businesswoman (uncredited),1,Bria Roberts,116
503,559,Pedestrian (uncredited),0,Luis Rosa,117
504,559,Sandman Victim (uncredited),1,Vanessa Ross,118
505,559,Bad Girl (uncredited),1,Brenna Roth,119
506,559,City Hall Cheerer (uncredited),0,Shade Rupe,120
507,559,Guy with Ticket (uncredited),0,Arick Salmea,121
508,559,Jazz Club Beatnik (uncredited),0,Eric Shackelford,122
509,559,Jazz Club Guest (uncredited),0,Daniel Shafer,123
510,559,Café Girl (uncredited),1,Abbey Skinner,124
